tournament,matchup_id,map_id,map_number,patch,phase,team_name,team_tag,winner,length,length_sec,side,position,ban_rotation,ban,pick_rotation,pick,is_blind,role,player,kills,deaths,assists,dmg_dealt,dmg_taken,total_gold
Scrim Aspira,4,8,1,5.0a,scrim,Team Aspira,ASP,true,14:12,852,blue,5,2,Renekton,B4/B5,Seraphine,true,mid,Kimmyzoca,4,0,11,10780,5797,10375
Scrim Aspira,4,8,1,5.0a,scrim,Time Shiso,SHI,false,14:12,852,red,1,1,Hecarim,R1/R2,Zeri,true,dragon,Oliver,1,3,1,22940,68352,9719
Scrim Aspira,4,8,1,5.0a,scrim,Time Shiso,SHI,false,14:12,852,red,2,1,Thresh,R1/R2,Yuumi,true,sup,Lunnarys,1,3,1,5448,17856,8150
Scrim Aspira,4,8,1,5.0a,scrim,Time Shiso,SHI,false,14:12,852,red,3,1,Aurelion Sol,R3,Wukong,false,jungle,Theyser,0,7,2,6484,144384,7189
Scrim Aspira,4,8,1,5.0a,scrim,Time Shiso,SHI,false,14:12,852,red,4,2,Syndra,R4,Orianna,false,mid,Wally,0,4,1,14119,57300,8936
Scrim Aspira,4,8,1,5.0a,scrim,Time Shiso,SHI,false,14:12,852,red,5,2,Soraka,R5,Darius,false,baron,Shiso,0,5,0,11921,130392,9588
Scrim Aspira,5,9,1,5.0a,scrim,Team Aspira,ASP,true,18:39,1119,blue,1,1,Evelynn,B1,Volibear,true,jungle,Aspira,6,0,5,23727,16149,14215
Scrim Aspira,5,9,1,5.0a,scrim,Team Aspira,ASP,true,18:39,1119,blue,2,1,Aurelion Sol,B2/B3,Ezreal,false,dragon,OMP,6,0,6,37797,11024,14477
Scrim Aspira,5,9,1,5.0a,scrim,Team Aspira,ASP,true,18:39,1119,blue,3,1,Vladimir,B2/B3,Karma,false,mid,Flyn,1,1,7,15468,15288,12387
Scrim Aspira,5,9,1,5.0a,scrim,Team Aspira,ASP,true,18:39,1119,blue,4,2,Xayah,B4/B5,Tryndamere,true,baron,Pacheco,2,2,3,14628,50157,14595
Scrim Aspira,5,9,1,5.0a,scrim,Team Aspira,ASP,true,18:39,1119,blue,5,2,Varus,B4/B5,Alistar,true,sup,Pilo,1,0,8,0,16839,9243
Scrim Aspira,5,9,1,5.0a,scrim,Team Shumas,SHU,false,18:39,1119,red,1,1,Hecarim,R1/R2,Morgana,true,dragon,Yutails,0,2,2,15618,42588,10287
Scrim Aspira,5,9,1,5.0a,scrim,Team Shumas,SHU,false,18:39,1119,red,2,1,Ornn,R1/R2,Jayce,true,mid,Shumas,2,4,1,23254,90575,14308
Scrim Aspira,5,9,1,5.0a,scrim,Team Shumas,SHU,false,18:39,1119,red,3,1,,R3,Shen,false,jungle,Orochi,1,3,1,9938,67840,11669
Scrim Aspira,5,9,1,5.0a,scrim,Team Shumas,SHU,false,18:39,1119,red,4,2,Nautilus,R4,Camille,false,baron,Darkzin,0,4,1,15682,143825,11545
Scrim Aspira,5,9,1,5.0a,scrim,Team Shumas,SHU,false,18:39,1119,red,5,2,Jax,R5,Sona,false,sup,Quartzo,0,3,1,4875,67840,8141
Scrim Aspira,5,10,2,5.0a,scrim,Team Shumas,SHU,true,20:09,1209,blue,1,1,Volibear,B1,Karma,true,mid,Shumas,5,4,14,0,0,13498
Scrim Aspira,5,10,2,5.0a,scrim,Team Shumas,SHU,true,20:09,1209,blue,2,1,Hecarim,B2/B3,Kha'Zix,true,jungle,Yutails,6,2,9,0,0,14764
Scrim Aspira,5,10,2,5.0a,scrim,Team Shumas,SHU,true,20:09,1209,blue,3,1,Ezreal,B2/B3,Zeri,false,dragon,Orochi,10,3,11,0,0,168688
Scrim Aspira,5,10,2,5.0a,scrim,Team Shumas,SHU,true,20:09,1209,blue,4,2,Galio,B4/B5,Braum,true,sup,Quartzo,0,2,23,0,0,10276
Scrim Aspira,5,10,2,5.0a,scrim,Team Shumas,SHU,true,20:09,1209,blue,5,2,Camille,B4/B5,Sett,true,baron,Darkzin,7,4,8,0,0,15416
Scrim Aspira,5,10,2,5.0a,scrim,Team Aspira,ASP,false,20:09,1209,red,1,1,Evelynn,R1/R2,Lux,false,mid,Flyn,3,5,7,0,0,13886
Scrim Aspira,5,10,2,5.0a,scrim,Team Aspira,ASP,false,20:09,1209,red,2,1,Aurelion Sol,R1/R2,Sivir,true,dragon,OMP,4,5,10,0,0,13776
Scrim Aspira,5,10,2,5.0a,scrim,Team Aspira,ASP,false,20:09,1209,red,3,1,Vladimir,R3,Vi,false,jungle,Aspira,5,8,6,0,0,14071
Scrim Aspira,5,10,2,5.0a,scrim,Team Aspira,ASP,false,20:09,1209,red,4,2,Dr. Mundo,R4,Ornn,false,baron,Pacheco,1,4,5,0,0,11699
Scrim Aspira,5,10,2,5.0a,scrim,Team Aspira,ASP,false,20:09,1209,red,5,2,Orianna,R5,Zyra,false,sup,Pilo,2,6,11,0,0,10145
Scrim Aspira,5,11,3,5.0a,scrim,Team Aspira,ASP,true,17:16,1036,blue,1,1,Evelynn,B1,Ornn,true,sup,Pilo,2,3,17,0,0,10207
Scrim Aspira,5,11,3,5.0a,scrim,Team Aspira,ASP,true,17:16,1036,blue,2,1,Vladimir,B2/B3,Karma,false,mid,Flyn,2,2,16,0,0,12637
Scrim Aspira,5,11,3,5.0a,scrim,Team Aspira,ASP,true,17:16,1036,blue,3,1,Aurelion Sol,B2/B3,Zeri,true,dragon,OMP,9,3,7,0,0,14593
Scrim Aspira,5,11,3,5.0a,scrim,Team Aspira,ASP,true,17:16,1036,blue,4,2,Sett,B4/B5,Olaf,true,baron,Pacheco,5,4,2,0,0,12557
Scrim Aspira,5,11,3,5.0a,scrim,Team Aspira,ASP,true,17:16,1036,blue,5,2,Kha'Zix,B4/B5,Xin Zhao,true,jungle,Aspira,7,4,14,0,0,14927
Scrim Aspira,5,11,3,5.0a,scrim,Team Shumas,SHU,false,17:16,1036,red,1,1,Volibear,R1/R2,Braum,false,sup,Quartzo,1,5,8,0,0,7661
Scrim Aspira,5,11,3,5.0a,scrim,Team Shumas,SHU,false,17:16,1036,red,2,1,Hecarim,R1/R2,Orianna,true,mid,Shumas,2,3,9,0,0,12177
Scrim Aspira,5,11,3,5.0a,scrim,Team Shumas,SHU,false,17:16,1036,red,3,1,Ezreal,R3,Lucian,false,dragon,Orochi,3,6,2,0,0,12495
Scrim Aspira,5,11,3,5.0a,scrim,Team Shumas,SHU,false,17:16,1036,red,4,2,Shen,R4,Vi,false,jungle,Yutails,1,7,6,0,0,10437
Scrim Aspira,5,11,3,5.0a,scrim,Team Shumas,SHU,false,17:16,1036,red,5,2,Camille,R5,Yone,false,baron,Darkzin,9,4,2,0,0,14290
Scrim Aspira,6,12,1,5.0a,scrim,Time Shiso,SHI,false,20:36,1236,blue,1,1,Aurelion Sol,B1,Volibear,true,jungle,Theyser,0,5,4,15236,190080,12182
Scrim Aspira,6,12,1,5.0a,scrim,Time Shiso,SHI,false,20:36,1236,blue,2,1,Diana,B2/B3,Orianna,false,mid,Wally,2,7,1,17499,159232,11653
Scrim Aspira,6,12,1,5.0a,scrim,Time Shiso,SHI,false,20:36,1236,blue,3,1,Vladimir,B2/B3,Ezreal,true,dragon,Oliver,3,3,1,26614,66944,15682
Scrim Aspira,6,12,1,5.0a,scrim,Time Shiso,SHI,false,20:36,1236,blue,4,2,Soraka,B4/B5,Irelia,true,baron,Shiso,3,4,2,27157,125300,16297
Scrim Aspira,6,12,1,5.0a,scrim,Time Shiso,SHI,false,20:36,1236,blue,5,2,Lulu,B4/B5,Leona,true,sup,Lunnarys,0,5,3,5664,148608,9504
Scrim Aspira,6,12,1,5.0a,scrim,Team Emerok,EMK,true,20:36,1236,red,1,1,Fiora,R1/R2,Hecarim,false,jungle,Emerok,3,1,14,23717,66552,15578
Scrim Aspira,6,12,1,5.0a,scrim,Team Emerok,EMK,true,20:36,1236,red,2,1,Jax,R1/R2,Syndra,true,mid,Sensou Henz,11,2,8,46221,38916,17390
Scrim Aspira,6,12,1,5.0a,scrim,Team Emerok,EMK,true,20:36,1236,red,3,1,Jayce,R3,Sivir,false,dragon,Noobzinha,3,1,9,24009,66552,15169
Scrim Aspira,6,12,1,5.0a,scrim,Team Emerok,EMK,true,20:36,1236,red,4,2,Yuumi,R4,Nami,false,sup,Leite,2,0,17,10647,10403,11943
Scrim Aspira,6,12,1,5.0a,scrim,Team Emerok,EMK,true,20:36,1236,red,5,2,Renekton,R5,Garen,false,baron,Júpiter Moba,5,4,2,13559,114350,12956
Scrim Aspira,6,13,2,5.0a,scrim,Team Emerok,EMK,true,18:54,1134,blue,1,1,Fiora,B1,Hecarim,true,jungle,Emerok,2,1,19,15939,23928,15586
Scrim Aspira,6,13,2,5.0a,scrim,Team Emerok,EMK,true,18:54,1134,blue,2,1,Jax,B2/B3,Kai'Sa,true,mid,Sensou Henz,16,3,6,57090,17016,19925
Scrim Aspira,6,13,2,5.0a,scrim,Team Emerok,EMK,true,18:54,1134,blue,3,1,Jayce,B2/B3,Nami,true,sup,Riyuuka,1,1,18,9842,10374,10900
Scrim Aspira,6,13,2,5.0a,scrim,Team Emerok,EMK,true,18:54,1134,blue,4,2,Yuumi,B4/B5,Xayah,false,dragon,Noobzinha,0,2,7,13446,12984,11888
Scrim Aspira,6,13,2,5.0a,scrim,Team Emerok,EMK,true,18:54,1134,blue,5,2,Renekton,B4/B5,Garen,true,baron,Júpiter Moba,5,4,6,10881,21130,12332
Scrim Aspira,6,13,2,5.0a,scrim,Time Shiso,SHI,false,18:54,1134,red,1,1,Aurelion Sol,R1/R2,Volibear,false,jungle,Theyser,3,6,5,11543,30107,10804
Scrim Aspira,6,13,2,5.0a,scrim,Time Shiso,SHI,false,18:54,1134,red,2,1,Vladimir,R1/R2,Ezreal,true,dragon,Oliver,4,5,5,27306,17334,12279
Scrim Aspira,6,13,2,5.0a,scrim,Time Shiso,SHI,false,18:54,1134,red,3,1,Diana,R3,Twisted Fate,false,mid,Wally,1,5,4,10950,12714,10979
Scrim Aspira,6,13,2,5.0a,scrim,Time Shiso,SHI,false,18:54,1134,red,4,2,Syndra,R4,Karma,false,sup,Lunnarys,2,5,6,15881,15846,10480
Scrim Aspira,6,13,2,5.0a,scrim,Time Shiso,SHI,false,18:54,1134,red,5,2,Vex,R5,Darius,false,baron,Shiso,1,3,2,19751,31192,12895
Scrim Aspira,7,14,1,5.0a,scrim,Team Aspira,ASP,false,17:11,1031,blue,1,1,Yasuo,B1,Volibear,true,jungle,Aspira,7,3,6,0,0,14147
Scrim Aspira,7,14,1,5.0a,scrim,Team Aspira,ASP,false,17:11,1031,blue,2,1,Vladimir,B2/B3,Camille,false,baron,Pacheco,2,6,1,0,0,10510
Scrim Aspira,7,14,1,5.0a,scrim,Team Aspira,ASP,false,17:11,1031,blue,3,1,Aurelion Sol,B2/B3,Orianna,true,mid,Kimmyzoca,2,3,4,0,0,11304
Scrim Aspira,7,14,1,5.0a,scrim,Team Aspira,ASP,false,17:11,1031,blue,4,2,Jax,B4/B5,Varus,true,dragon,OMP,5,4,5,0,0,11610
Scrim Aspira,7,14,1,5.0a,scrim,Team Aspira,ASP,false,17:11,1031,blue,5,2,Renekton,B4/B5,Nautilus,false,sup,Pilo,0,5,11,0,0,8636
Scrim Aspira,7,14,1,5.0a,scrim,Team Turzin,TUR,true,17:11,1031,red,1,1,Ornn,R1/R2,Darius,true,baron,Turzin,4,5,6,0,0,11709
Scrim Aspira,7,14,1,5.0a,scrim,Team Turzin,TUR,true,17:11,1031,red,2,1,Hecarim,R1/R2,Karma,true,sup,Hanabi,0,3,16,0,0,9972
Scrim Aspira,7,14,1,5.0a,scrim,Team Turzin,TUR,true,17:11,1031,red,3,1,Ezreal,R3,Diana,false,jungle,Cake,7,2,3,0,0,16798
Scrim Aspira,7,14,1,5.0a,scrim,Team Turzin,TUR,true,17:11,1031,red,4,2,Galio,R4,Sivir,false,dragon,Bruno Henning,6,3,9,0,0,12864
Scrim Aspira,7,14,1,5.0a,scrim,Team Turzin,TUR,true,17:11,1031,red,5,2,Zeri,R5,Gwen,false,mid,UNK Support,4,3,8,0,0,14212
